ImageNumber,ObjectNumber,Metadata_Assay,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Magnification,Metadata_Plate,Metadata_Series,Metadata_Well,Metadata_wavelength
1,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,2,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,3,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,4,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,5,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,6,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,7,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,8,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,9,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,10,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,11,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,12,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,13,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,14,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,15,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,16,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,17,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,18,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,19,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,20,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,21,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,22,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,23,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,24,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,25,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,26,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,27,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,28,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,29,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
1,30,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
