ImageNumber,ObjectNumber,Metadata_Assay,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Magnification,Metadata_Plate,Metadata_Series,Metadata_Well,Metadata_wavelength,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_MaskedRFP,Intensity_IntegratedIntensity_MaskedRFP,Intensity_LowerQuartileIntensity_MaskedRFP,Intensity_MADIntensity_MaskedRFP,Intensity_MassDisplacement_MaskedRFP,Intensity_MaxIntensityEdge_MaskedRFP,Intensity_MaxIntensity_MaskedRFP,Intensity_MeanIntensityEdge_MaskedRFP,Intensity_MeanIntensity_MaskedRFP,Intensity_MedianIntensity_MaskedRFP,Intensity_MinIntensityEdge_MaskedRFP,Intensity_MinIntensity_MaskedRFP,Intensity_StdIntensityEdge_MaskedRFP,Intensity_StdIntensity_MaskedRFP,Intensity_UpperQuartileIntensity_MaskedRFP,Location_CenterMassIntensity_X_MaskedRFP,Location_CenterMassIntensity_Y_MaskedRFP,Location_CenterMassIntensity_Z_MaskedRFP,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_MaskedRFP,Location_MaxIntensity_Y_MaskedRFP,Location_MaxIntensity_Z_MaskedRFP,Number_Object_Number,Worm_Length
1,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2977,1151.36748404434,272.00100772589855,7.54230880717768,4006,0.996630352491095,61.5665016439669,1,0.1323111111111111,0.13258539600610683,251.30005589992973,244.49948875202173,7.280109889280518,3.532459613590494,3.1622776601683795,21.644116306761912,20.612641786194704,64.73485737469312,531.1858582251266,0.7431352970544184,11.367284689098597,72.462989538908,0.02366674318909645,0.0006713960319757462,0.09483924077348213,0.029755093157291412,0.029755093157291412,0.025260632642441327,0.024340943748373534,0.024322880432009697,0.023025864735245705,0.02078278735280037,0.0008804611968109907,0.0010548040582280527,0.025009537115693092,1151.295413285615,271.9393612553808,0.0,1151.36748404434,272.00100772589855,1213.0,297.0,0.0,1,262.07168448616153
1,2,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,3016,896.7901193633952,390.2012599469496,7.742576290202593,3871,0.9974540288981906,61.968463486851526,1,0.2077993661292545,0.1291559763208783,258.0887332820029,251.31852299422738,7.615773105863909,3.5257455677442757,3.1622776601683795,19.763941621671492,18.404930314720673,12.685975469323093,541.7056274847714,0.7791268406096615,12.116472160443664,72.86854389123619,0.0235751885920763,0.0005493257194757462,0.5805922615821746,0.027481498196721077,0.03013656847178936,0.024626975935861106,0.024160657788871415,0.024109255522489548,0.02249179780483246,0.021576257422566414,0.0007410912130695163,0.0008652103350532585,0.024689096957445145,896.6766934518581,389.6318550498851,0.0,896.7901193633952,390.2012599469496,926.0,492.0,0.0,2,265.24799730664586
1,3,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2969,558.2091613337824,463.77534523408553,7.855743056442861,4407,0.9958915535757208,61.483723116925006,1,0.11010977599762646,0.12729540577066778,253.59187523412274,246.46500765828807,7.211102550927978,3.4638225791563797,3.1622776601683795,24.6678112185927,22.963739907685977,58.815822876641526,541.38181771802,0.6737009303380985,10.949080707505345,72.29953498207033,0.02371251955628395,0.0005645845085382462,0.6935617254458497,0.0319523923099041,0.0319523923099041,0.02505510459383374,0.024351476922219714,0.024246586486697197,0.022919051349163055,0.021545739844441414,0.0010283730498101683,0.0009405488452561124,0.024856947362422943,557.5993341459908,463.44498381376883,0.0,558.2091613337824,463.77534523408553,657.0,530.0,0.0,3,261.23568583239825
1,4,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,3443,633.5672378739472,379.5791460935231,8.58065837930923,8330,0.9890452905645771,66.20999737594894,1,0.20018605732891448,0.11654117385809538,289.9299423603021,274.9254444390333,8.0,3.5348900658224864,3.1622776601683795,44.774591588814175,42.797247335045164,-83.4998587770606,609.3036072312182,0.4133253301320528,13.8687724750489,84.87144311331213,0.02395666390657425,0.0006408803164958954,0.4686793773872057,0.030670633539557457,0.04161135107278824,0.025307978969067335,0.024650433666370063,0.024582283571362495,0.021881436929106712,0.021545739844441414,0.0010833060613741458,0.0010643202106748004,0.02523842267692089,633.1056213146347,379.6602047818704,0.0,633.5672378739472,379.5791460935231,536.0,401.0,0.0,4,309.4317634907196
1,5,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,3031,774.6268558231607,571.7383701748598,7.761138939650529,5721,0.9924406289208925,62.1223716554051,1,0.09812872312872313,0.1288470684233142,257.91976592410305,250.04999500099976,7.280109889280518,3.4930596209750426,3.605551275463989,32.80113797748052,31.653384475315725,-51.50458799950133,543.7016228714147,0.5298024820835519,10.417288521304727,72.19002096541226,0.023193713277578354,0.0005798432976007462,0.1334874496912112,0.029190508648753166,0.029190508648753166,0.02422625237512727,0.02381722895592618,0.0237735565751791,0.02232394926249981,0.02079804614186287,0.0008378382981985052,0.0009149243265345789,0.02435721457004547,774.727255243392,571.650399409021,0.0,774.6268558231607,571.7383701748598,763.0,563.0,0.0,5,267.45615010835945
1,6,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2922,1456.0414099931554,674.2470910335387,7.455541155195859,4793,0.9942769364027106,60.995130541020615,1,0.2192376950780312,0.13412842598328192,249.7166716618794,242.6375898330677,8.0,3.5279218550022473,3.1622776601683795,27.656907080941274,26.67807917942673,-11.00515811593349,523.2203461105328,0.6096390569580639,11.903425704687834,70.50605052150786,0.023407340049743652,0.0007019154727458954,0.374741055851078,0.030746929347515106,0.030746929347515106,0.025007196858587887,0.02412938073973575,0.024139773100614548,0.022842755541205406,0.019989319145679474,0.0009284493078288502,0.0010671474145362884,0.024811169132590294,1456.2091483881723,673.9119870350881,0.0,1456.0414099931554,674.2470910335387,1484.0,594.0,0.0,6,260.75944980722954
1,7,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2943,455.5806999660211,768.9989806320082,7.494436981812094,4610,0.9946801723401403,61.21391982348119,1,0.09693675889328063,0.13343230484516103,252.28132785422366,245.0673376849718,7.211102550927978,3.486594803969041,3.605551275463989,27.063146106979833,25.98786039690363,42.703713443520186,526.4650788387052,0.6383947939262473,10.102891629561782,71.2452127803117,0.0235599298030138,0.0005951020866632462,0.37961985177256213,0.027893492951989174,0.032684825360774994,0.024761989288141623,0.024208363160146688,0.0240939948707819,0.022720683366060257,0.021667812019586563,0.0008150153348409356,0.0009473448831181709,0.024765392765402794,455.3398901762199,768.7055153410524,0.0,455.5806999660211,768.9989806320082,460.0,788.0,0.0,7,258.3556450449709
1,8,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2973,337.4735956945846,677.3343424150689,7.597269854329476,4571,0.9957907376939498,61.5251263021673,1,0.1507606490872211,0.131626231419189,250.85978176629652,244.13520843991347,7.280109889280518,3.5349478030741026,3.1622776601683795,26.01879443531885,22.992782791317538,-68.75373483577046,532.7594513539337,0.6504047254430103,11.541466429829597,72.81191764958203,0.0238345917314291,0.0006256196647882462,0.14824531066955518,0.02992294169962406,0.034195467829704285,0.024873850064287925,0.024491058745234454,0.024444952607154846,0.022705424576997757,0.021240558475255966,0.0008715557104260264,0.0009960486136286486,0.02508201776072383,337.3321462598106,677.2899720472811,0.0,337.4735956945846,677.3343424150689,434.0,635.0,0.0,8,265.99099511019426
1,9,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,3405,1442.5812041116005,866.3518355359765,8.731789935371244,8191,0.9867384069095307,65.84360750918215,1,0.14891755958889133,0.11452405605283078,286.42907204940735,278.29660436304283,7.615773105863909,3.5143214121909736,3.1622776601683795,45.39467548221681,46.49275576051236,-74.64517182512486,611.2447327281723,0.41570015871078014,13.00921649299562,82.9185019414872,0.022812237963080406,0.0008545052260160446,0.9201735961458483,0.03323414921760559,0.06198214739561081,0.02409114165369559,0.02435198294904176,0.02363622561097145,0.02203402854502201,0.02081330679357052,0.0009430255006011722,0.0035267231833471424,0.024551765993237495,1443.2752924958384,865.7477157118439,0.0,1442.5812041116005,866.3518355359765,1535.0,831.0,0.0,9,309.615529674793
1,10,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,3089,1245.254451278731,1129.8164454516025,7.846015892844321,4698,0.9957175273280322,62.713929502837864,1,0.1416712529811044,0.12745322131096043,259.85845068531137,251.87298386289865,7.615773105863909,3.5342099751798677,3.1622776601683795,25.509591304302965,24.02335619752326,22.30919358510432,551.8721497261419,0.6575138356747552,11.832929026335478,75.51989044435322,0.0238498505204916,0.0005340650677680969,0.1619823334902239,0.057846952229738235,0.057846952229738235,0.02496398528762759,0.024448005970978706,0.024383917450904846,0.02207980491220951,0.021728847175836563,0.002465833608433562,0.0015040493338853388,0.024917982518672943,1245.2072968994428,1129.6614785490817,0.0,1245.254451278731,1129.8164454516025,1208.0,1038.0,0.0,10,272.4800134696601
